buying_sector,input_sector,inventory_duration_target
AYG,MIP,8.874249956392815
AYG,MOL,25.714285714285715
AYG,MUE,25.714285714285715
AYG,PAN,25.714285714285715
AYG,PAP,25.714285714285715
AYG,PES,0.6571428571428571
AYG,PLS,25.714285714285715
AYG,POS,13.926959706959707
AYG,PPR,0.6571428571428571
AYG,QU1,25.714285714285715
AYG,QU2,25.714285714285715
AYG,REF,25.714285714285715
AYG,RES,9.390106106015198
AYG,SAL,15.040047852856365
AYG,SEG,10.24981684981685
AYG,SIL,0.6571428571428571
AYG,TAB,0.6571428571428571
AYG,TEL,17.124636474636475
AYG,TRA,13.926959706959707
AYG,VES,25.714285714285715
AYG,VID,25.714285714285715
AYG,REP,16.213919413919417
AYG,INM,16.213919413919417
AYG,IMP,16.213919413919417
BNA,ADM,9.959999999999999
BNA,ADP,7.079047619047619
BNA,AGU,3.6400595238095237
BNA,ALD,3.607142857142857
BNA,ASO,9.579047619047618
BNA,AYG,4.118829365079366
BNA,AZU,4.118829365079366
BNA,BAL,3.607142857142857
BNA,BNA,3.607142857142857
BNA,CAN,4.118829365079366
BNA,CAR,3.607142857142857
BNA,CAU,3.607142857142857
BNA,CEM,2.5368140589569164
BNA,CER,4.118829365079366
BNA,CHO,3.607142857142857
BNA,CIN,4.118829365079366
BNA,COM,1.9047619047619049
BNA,CON,2.9669642857142855
BNA,CUE,3.607142857142857
BNA,CUL,4.118829365079366
BNA,DEM,3.607142857142857
BNA,DOM,5.76952380952381
BNA,EDU,6.739761904761904
BNA,ELE,3.518809523809524
BNA,FID,3.607142857142857
BNA,FIN,3.9123809523809525
BNA,FRT,4.118829365079366
BNA,FRV,4.118829365079366
BNA,GAN,4.118829365079366
BNA,HIL,3.607142857142857
BNA,HOT,3.0526702085792996
BNA,LAC,4.118829365079366
BNA,MAD,3.607142857142857
BNA,MAN,3.607142857142857
BNA,MAQ,3.607142857142857
BNA,MET,3.607142857142857
BNA,MIP,2.5368140589569164
BNA,MOL,3.607142857142857
BNA,MUE,3.607142857142857
BNA,PAN,3.607142857142857
BNA,PAP,3.607142857142857
BNA,PES,4.118829365079366
BNA,PLS,3.607142857142857
BNA,POS,7.58952380952381
BNA,PPR,4.118829365079366
BNA,QU1,3.607142857142857
BNA,QU2,3.607142857142857
BNA,REF,3.607142857142857
BNA,RES,3.0526702085792996
BNA,SAL,8.702611955420466
BNA,SEG,3.9123809523809525
BNA,SIL,4.118829365079366
BNA,TAB,4.118829365079366
BNA,TEL,10.787200577200577
BNA,TRA,7.58952380952381
BNA,VES,3.607142857142857
BNA,VID,3.607142857142857
