region_sector,share_exporting_firms,usd_per_ton,sector,type,region
North America_CTL,0.0087800750119302,13651.273086977191,CTL,agriculture,North America
Oceania_CTL,0.1064291798010833,8119.014301533277,CTL,agriculture,Oceania
RUS_CTL,0.0447132496795482,2235.6783665107173,CTL,agriculture,RUS
South America_CTL,0.0125316874993264,3641.044504383078,CTL,agriculture,South America
TJK_CTL,0.0030973060695057,4947.829446034507,CTL,agriculture,TJK
TKM_CTL,0.7814348154310388,3480.6399162182256,CTL,agriculture,TKM
TUR_CTL,0.0001155192421895,17636.815175522093,CTL,agriculture,TUR
UZB_CTL,0.0001641820526835,2134.5807413247608,CTL,agriculture,UZB
ARM_C_B,0.0015718614846974,15232.5977049282,C,agriculture,ARM
AZE_C_B,0.0004409961834595,8527.720815619059,C,agriculture,AZE
Africa_C_B,0.0008356970636478,9847.48981091111,C,agriculture,Africa
America_C_B,0.0002032255463062,83048289.78771599,C,agriculture,America
Asia_C_B,0.0001100515846275,83.48048864807615,C,agriculture,Asia
CHN_C_B,4.270002202334929e-05,502.84815013161614,C,agriculture,CHN
Europe_C_B,0.0322765261496605,7013.225369315288,C,agriculture,Europe
GEO_C_B,0.0005910621340663,16461.739884700837,C,agriculture,GEO
KAZ_C_B,1.2193056583485552e-05,4188641.370263311,C,agriculture,KAZ
KGZ_C_B,0.0833172087613526,17.970862077774022,C,agriculture,KGZ
North America_C_B,6.914373240611807e-05,3341.670072880697,C,agriculture,North America
Oceania_C_B,5.664108784719804e-05,194509.4680549707,C,agriculture,Oceania
RUS_C_B,0.2769899191863389,16927.356109152242,C,agriculture,RUS
South America_C_B,3.0603259470817374e-06,1525.6090971408105,C,agriculture,South America
TJK_C_B,0.0003939677117725,98024.37903017343,C,agriculture,TJK
TKM_C_B,0.0711318427192158,77761.7632668885,C,agriculture,TKM
TUR_C_B,0.0017964019425887,6004.251437035528,C,agriculture,TUR
UZB_C_B,0.0012074816657022,33521.17523748388,C,agriculture,UZB
ARM_EEQ,0.7687110357927017,36061.82531405035,EEQ,manufacturing,ARM
AZE_EEQ,0.1213494751770277,24891.42920803412,EEQ,manufacturing,AZE
Africa_EEQ,0.3983845197389039,12302.71697796989,EEQ,manufacturing,Africa
America_EEQ,0.429492595060286,16553.88104722561,EEQ,manufacturing,America
Asia_EEQ,0.2296661670541232,15086.033874059489,EEQ,manufacturing,Asia
CHN_EEQ,0.1167852812542055,10090.393130114677,EEQ,manufacturing,CHN
Europe_EEQ,0.1948281895652616,12847.476117841516,EEQ,manufacturing,Europe
GEO_EEQ,0.4645583695349199,9581.781018266209,EEQ,manufacturing,GEO
KAZ_EEQ,0.2750545524150404,3307.379405305879,EEQ,manufacturing,KAZ
KGZ_EEQ,0.4772262220195513,3864.547228050153,EEQ,manufacturing,KGZ
North America_EEQ,0.1731419261724729,18062.45556590596,EEQ,manufacturing,North America
Oceania_EEQ,0.2695260698329614,25468.816080746263,EEQ,manufacturing,Oceania
RUS_EEQ,0.3844278068463023,23407.71005615637,EEQ,manufacturing,RUS
South America_EEQ,0.0791931210668108,6369.460673373544,EEQ,manufacturing,South America
TJK_EEQ,0.3457273435195794,65387.352630342495,EEQ,manufacturing,TJK
