,sector,supply_data,cutoff,coverage
387,BGD_Private Households,USD,0,1
388,BGD_Others,USD,0,1
389,BGD_Re-export & Re-import,USD,0,1
390,BRB_Agriculture,USD,0,1
391,BRB_Fishing,USD,0,1
392,BRB_Mining and Quarrying,USD,0,1
393,BRB_Food & Beverages,USD,0,1
394,BRB_Textiles and Wearing Apparel,USD,0,1
395,BRB_Wood and Paper,USD,0,1
396,"BRB_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
397,BRB_Metal Products,USD,0,1
398,BRB_Electrical and Machinery,USD,0,1
399,BRB_Transport Equipment,USD,0,1
400,BRB_Other Manufacturing,USD,0,1
401,BRB_Recycling,USD,0,1
402,"BRB_Electricity, Gas and Water",USD,0,1
403,BRB_Construction,USD,0,1
404,BRB_Maintenance and Repair,USD,0,1
405,BRB_Wholesale Trade,USD,0,1
406,BRB_Retail Trade,USD,0,1
407,BRB_Hotels and Restraurants,USD,0,1
408,BRB_Transport,USD,0,1
409,BRB_Post and Telecommunications,USD,0,1
410,BRB_Finacial Intermediation and Business Activities,USD,0,1
411,BRB_Public Administration,USD,0,1
412,"BRB_Education, Health and Other Services",USD,0,1
413,BRB_Private Households,USD,0,1
414,BRB_Others,USD,0,1
415,BRB_Re-export & Re-import,USD,0,1
416,BLR_Agriculture,USD,0,1
417,BLR_Fishing,USD,0,1
418,BLR_Mining and Quarrying,USD,0,1
419,BLR_Food & Beverages,USD,0,1
420,BLR_Textiles and Wearing Apparel,USD,0,1
421,BLR_Wood and Paper,USD,0,1
422,"BLR_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
423,BLR_Metal Products,USD,0,1
424,BLR_Electrical and Machinery,USD,0,1
425,BLR_Transport Equipment,USD,0,1
426,BLR_Other Manufacturing,USD,0,1
427,BLR_Recycling,USD,0,1
428,"BLR_Electricity, Gas and Water",USD,0,1
429,BLR_Construction,USD,0,1
430,BLR_Maintenance and Repair,USD,0,1
431,BLR_Wholesale Trade,USD,0,1
432,BLR_Retail Trade,USD,0,1
433,BLR_Hotels and Restraurants,USD,0,1
434,BLR_Transport,USD,0,1
435,BLR_Post and Telecommunications,USD,0,1
436,BLR_Finacial Intermediation and Business Activities,USD,0,1
437,BLR_Public Administration,USD,0,1
438,"BLR_Education, Health and Other Services",USD,0,1
439,BLR_Private Households,USD,0,1
440,BLR_Others,USD,0,1
441,BLR_Re-export & Re-import,USD,0,1
442,BEL_Agriculture,USD,0,1
443,BEL_Fishing,USD,0,1
444,BEL_Mining and Quarrying,USD,0,1
445,BEL_Food & Beverages,USD,0,1
446,BEL_Textiles and Wearing Apparel,USD,0,1
447,BEL_Wood and Paper,USD,0,1
448,"BEL_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
449,BEL_Metal Products,USD,0,1
450,BEL_Electrical and Machinery,USD,0,1
451,BEL_Transport Equipment,USD,0,1
452,BEL_Other Manufacturing,USD,0,1
453,BEL_Recycling,USD,0,1
454,"BEL_Electricity, Gas and Water",USD,0,1
455,BEL_Construction,USD,0,1
456,BEL_Maintenance and Repair,USD,0,1
457,BEL_Wholesale Trade,USD,0,1
458,BEL_Retail Trade,USD,0,1
459,BEL_Hotels and Restraurants,USD,0,1
460,BEL_Transport,USD,0,1
461,BEL_Post and Telecommunications,USD,0,1
462,BEL_Finacial Intermediation and Business Activities,USD,0,1
463,BEL_Public Administration,USD,0,1
464,"BEL_Education, Health and Other Services",USD,0,1
465,BEL_Private Households,USD,0,1
466,BEL_Others,USD,0,1
467,BEL_Re-export & Re-import,USD,0,1
468,BLZ_Agriculture,USD,0,1
469,BLZ_Fishing,USD,0,1
470,BLZ_Mining and Quarrying,USD,0,1
471,BLZ_Food & Beverages,USD,0,1
472,BLZ_Textiles and Wearing Apparel,USD,0,1
473,BLZ_Wood and Paper,USD,0,1
474,"BLZ_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
475,BLZ_Metal Products,USD,0,1
476,BLZ_Electrical and Machinery,USD,0,1
477,BLZ_Transport Equipment,USD,0,1
478,BLZ_Other Manufacturing,USD,0,1
479,BLZ_Recycling,USD,0,1
480,"BLZ_Electricity, Gas and Water",USD,0,1
481,BLZ_Construction,USD,0,1
482,BLZ_Maintenance and Repair,USD,0,1
483,BLZ_Wholesale Trade,USD,0,1
484,BLZ_Retail Trade,USD,0,1
485,BLZ_Hotels and Restraurants,USD,0,1
486,BLZ_Transport,USD,0,1
487,BLZ_Post and Telecommunications,USD,0,1
488,BLZ_Finacial Intermediation and Business Activities,USD,0,1
489,BLZ_Public Administration,USD,0,1
490,"BLZ_Education, Health and Other Services",USD,0,1
491,BLZ_Private Households,USD,0,1
492,BLZ_Others,USD,0,1
493,BLZ_Re-export & Re-import,USD,0,1
494,BEN_Agriculture,USD,0,1
495,BEN_Fishing,USD,0,1
496,BEN_Mining and Quarrying,USD,0,1
497,BEN_Food & Beverages,USD,0,1
498,BEN_Textiles and Wearing Apparel,USD,0,1
499,BEN_Wood and Paper,USD,0,1
500,"BEN_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
501,BEN_Metal Products,USD,0,1
502,BEN_Electrical and Machinery,USD,0,1
503,BEN_Transport Equipment,USD,0,1
504,BEN_Other Manufacturing,USD,0,1
505,BEN_Recycling,USD,0,1
506,"BEN_Electricity, Gas and Water",USD,0,1
507,BEN_Construction,USD,0,1
508,BEN_Maintenance and Repair,USD,0,1
509,BEN_Wholesale Trade,USD,0,1
510,BEN_Retail Trade,USD,0,1
511,BEN_Hotels and Restraurants,USD,0,1
512,BEN_Transport,USD,0,1
513,BEN_Post and Telecommunications,USD,0,1
514,BEN_Finacial Intermediation and Business Activities,USD,0,1
515,BEN_Public Administration,USD,0,1
516,"BEN_Education, Health and Other Services",USD,0,1
517,BEN_Private Households,USD,0,1
518,BEN_Others,USD,0,1
519,BEN_Re-export & Re-import,USD,0,1
520,BMU_Agriculture,USD,0,1
521,BMU_Fishing,USD,0,1
522,BMU_Mining and Quarrying,USD,0,1
523,BMU_Food & Beverages,USD,0,1
524,BMU_Textiles and Wearing Apparel,USD,0,1
525,BMU_Wood and Paper,USD,0,1
526,"BMU_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
527,BMU_Metal Products,USD,0,1
528,BMU_Electrical and Machinery,USD,0,1
529,BMU_Transport Equipment,USD,0,1
530,BMU_Other Manufacturing,USD,0,1
531,BMU_Recycling,USD,0,1
532,"BMU_Electricity, Gas and Water",USD,0,1
533,BMU_Construction,USD,0,1
534,BMU_Maintenance and Repair,USD,0,1
535,BMU_Wholesale Trade,USD,0,1
536,BMU_Retail Trade,USD,0,1
537,BMU_Hotels and Restraurants,USD,0,1
538,BMU_Transport,USD,0,1
539,BMU_Post and Telecommunications,USD,0,1
540,BMU_Finacial Intermediation and Business Activities,USD,0,1
541,BMU_Public Administration,USD,0,1
542,"BMU_Education, Health and Other Services",USD,0,1
543,BMU_Private Households,USD,0,1
544,BMU_Others,USD,0,1
545,BMU_Re-export & Re-import,USD,0,1
546,BTN_Agriculture,USD,0,1
547,BTN_Fishing,USD,0,1
548,BTN_Mining and Quarrying,USD,0,1
549,BTN_Food & Beverages,USD,0,1
