country,sector,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,VNM,THA,LAO,AFR,AME,ASI,EUR,OCE
,,CRO,LIV,FOR,FIS,MIN,MFO,MBE,MTO,MTE,MWO,MPA,MCO,MCH,MPH,MRU,MNM,MBA,MFA,MEL,MMA,MTR,MFU,MAO,ELE,WAS,CON,TRW,TRR,TRL,POS,ACF,PUB,VID,TEL,INF,FIN,INS,REA,ACC,CST,ARC,VET,REN,EMP,TRA,SEC,BUI,OFS,ADM,EDU,HEA,RES,SOC,CRE,LIB,BET,SPO,AMO,REP,OPS,final_demand,capital,exports,exports,exports,exports,exports,exports,exports,exports
KHM,POS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.001,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.484,0.107,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.535,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
KHM,ACF,6.827,0.272,1.609,3.061,1.093,5.568,13.568,2.030,26.438,0.146,0.806,0.000,0.686,0.061,5.974,0.696,0.919,1.756,0.002,0.126,0.216,0.033,0.141,6.123,0.082,28.221,77.876,1.024,47.165,0.010,55.756,0.188,0.001,4.787,0.005,4.308,0.007,18.712,0.576,0.011,1.102,0.001,0.049,0.139,25.120,7.995,0.017,0.719,13.941,3.301,17.247,0.075,0.047,0.138,0.003,3.815,0.186,0.810,0.780,1.114,283.931,2.328,102.921,69.551,0.053,3.877,457.769,309.448,637.659,14.664
KHM,PUB,0.000,0.000,0.000,0.000,0.094,0.051,0.157,0.073,0.183,0.022,0.024,0.000,0.024,0.000,0.096,0.040,0.003,0.025,0.000,0.000,0.000,0.000,0.001,0.055,0.017,0.574,1.121,0.033,0.778,0.002,0.475,0.002,0.001,2.142,0.002,0.209,0.001,0.980,0.056,0.001,0.076,0.000,0.010,0.008,0.127,0.204,0.000,0.027,0.233,0.114,0.038,0.000,0.005,0.038,0.001,0.210,0.011,0.024,0.008,0.005,5.240,0.000,0.031,0.021,0.000,0.001,0.137,0.093,0.191,0.004
KHM,VID,0.000,0.000,0.000,0.000,0.001,0.001,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.005,0.000,0.030,0.000,0.024,0.000,0.000,0.008,0.000,0.001,0.000,0.006,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.000,0.002,0.006,0.001,0.000,0.000,0.002,0.000,0.011,0.000,0.000,0.000,0.005,0.117,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000
KHM,TEL,0.026,0.007,0.098,0.292,6.093,3.307,10.203,4.739,11.905,1.429,1.542,0.000,1.542,0.014,6.237,2.624,0.167,1.659,0.000,0.018,0.041,0.013,0.069,3.591,1.122,37.284,72.756,2.127,50.693,0.149,30.825,0.104,0.041,139.326,0.101,13.589,0.051,63.591,3.667,0.048,4.913,0.014,0.662,0.546,8.257,13.277,0.000,1.762,15.144,7.451,2.492,0.000,0.313,2.471,0.039,13.644,0.730,1.540,0.554,0.354,340.388,0.000,1.998,1.350,0.001,0.075,8.888,6.008,12.380,0.285
KHM,INF,0.000,0.000,0.000,0.000,0.005,0.003,0.011,0.004,0.029,0.001,0.001,0.000,0.001,0.000,0.005,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.033,0.079,0.002,0.041,0.000,0.030,0.000,0.000,0.100,0.000,0.011,0.000,0.049,0.003,0.000,0.005,0.000,0.000,0.000,0.012,0.017,0.000,0.002,0.024,0.007,0.002,0.000,0.000,0.002,0.000,0.012,0.001,0.002,0.003,0.003,0.310,0.000,0.002,0.001,0.000,0.000,0.008,0.005,0.011,0.000
KHM,FIN,0.572,0.011,0.013,0.009,3.767,6.228,1.133,0.193,1.428,0.061,0.073,0.000,1.757,0.005,0.433,0.174,0.052,0.876,0.008,0.650,0.001,0.032,0.009,3.297,0.003,12.082,32.248,0.056,10.027,0.000,5.483,0.007,0.000,1.614,0.002,12.187,0.124,39.761,1.494,0.007,0.255,0.000,0.003,0.024,1.011,0.644,0.000,0.013,1.989,2.929,2.632,0.000,0.000,0.106,0.009,0.010,0.039,1.079,0.840,0.480,220.562,0.000,2.923,1.975,0.002,0.110,13.001,8.788,18.109,0.416
KHM,INS,0.002,0.000,0.000,0.000,0.022,0.036,0.006,0.001,0.008,0.000,0.000,0.000,0.010,0.000,0.002,0.001,0.000,0.005,0.000,0.004,0.000,0.000,0.000,0.019,0.000,0.069,0.184,0.000,0.057,0.000,0.031,0.000,0.000,0.009,0.000,0.070,0.001,0.227,0.009,0.000,0.001,0.000,0.000,0.000,0.006,0.004,0.000,0.000,0.011,0.017,0.015,0.000,0.000,0.001,0.000,0.000,0.000,0.006,0.005,0.003,1.261,0.000,0.017,0.011,0.000,0.001,0.074,0.050,0.104,0.002
KHM,REA,0.000,0.007,0.000,0.000,28.419,4.732,19.412,4.794,10.181,7.883,1.325,0.000,0.159,0.041,6.553,2.535,0.183,1.273,0.000,0.000,0.030,0.126,0.034,3.819,0.081,2.179,27.397,0.158,62.987,0.003,40.534,0.127,0.000,16.436,0.007,5.479,0.018,78.018,0.726,0.022,1.590,0.005,0.221,0.368,5.363,0.977,0.000,0.696,26.083,26.502,5.876,0.000,0.000,0.054,0.023,0.020,0.000,0.487,0.323,0.597,928.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
KHM,ACC,0.235,0.065,0.000,0.000,0.034,0.011,0.086,0.021,0.090,0.000,0.005,0.000,0.019,0.001,0.023,0.004,0.001,0.006,0.000,0.000,0.007,0.000,0.000,0.017,0.000,0.067,0.070,0.001,0.111,0.000,0.081,0.001,0.000,0.191,0.000,4.695,0.019,22.262,0.791,0.001,0.138,0.000,0.398,0.004,0.027,0.068,0.000,0.007,0.229,0.149,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.060,0.001,32.545,0.000,0.245,0.166,0.000,0.009,1.091,0.738,1.520,0.035
KHM,CST,0.067,0.018,0.000,0.000,0.010,0.003,0.024,0.006,0.026,0.000,0.002,0.000,0.005,0.000,0.006,0.001,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.005,0.000,0.019,0.020,0.000,0.031,0.000,0.023,0.000,0.000,0.054,0.000,0.028,0.000,0.412,0.015,0.000,0.039,0.000,0.000,0.001,0.008,0.019,0.000,0.002,0.065,0.042,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.017,0.000,0.065,0.000,0.070,0.047,0.000,0.003,0.310,0.209,0.431,0.010
KHM,ARC,3.875,0.602,0.039,0.027,0.323,0.103,0.784,0.194,0.821,0.002,0.049,0.000,0.170,0.008,0.208,0.037,0.006,0.059,0.000,0.002,0.065,0.001,0.002,0.151,0.003,0.612,0.639,0.005,1.009,0.000,0.738,0.005,0.000,1.747,0.000,0.895,0.004,13.204,0.494,0.009,1.259,0.001,0.000,0.036,0.244,0.620,0.001,0.061,2.089,1.357,1.449,0.000,0.000,0.000,0.000,0.001,0.000,0.025,0.551,0.006,2.185,0.000,2.234,1.509,0.001,0.084,9.934,6.716,13.838,0.318
